ID,C14:0,C15:0,C16:0,C16:1n-7,C17:0,C18:0,C18:1n-9,C18:1n-7,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3 n-6,"C20:4n-6, AA",C22:0,"C20:5n-3, EPA",C22:4n-6 ,C24:0,C24:1n-9,"C22:5n3, DPA","C22:6n3, DHA"
413502-015,-2.176455153,-2.588225913,-0.357383972,-2.498366974,-2.284057531,-0.613471607,-1.332149519,-2.362216955,-1.007209723,-3.232495338,-2.293184421,-2.353011079,-3.159131979,-3.328376258,-2.238253084,-1.133932999,-2.075047516,-2.132921978,-2.184617565,-1.933436935,-2.497262846,-2.372540324,-1.780463237
385470-002,-2.324682727,-2.785881084,-0.372804187,-2.670263742,-2.511784555,-0.630927416,-1.223160331,-2.48533821,-0.882132356,-2.864477179,-2.845196306,-2.480433155,-3.442518266,-3.546118626,-2.166667885,-1.043284888,-2.259882484,-2.752149173,-2.040835078,-2.370188004,-3.147260166,-2.610600044,-2.091708401
385470-005,-2.140161284,-2.607861803,-0.36174589,-2.535895913,-2.318395844,-0.605835349,-1.282506978,-2.331196303,-0.952057787,-3.121685021,-2.540462447,-2.506619794,-3.437508341,-3.450969542,-2.290069434,-1.097657801,-2.346368266,-2.253157086,-2.285225076,-2.339055291,-2.955259929,-2.526739783,-1.838413342
385470-006,-1.733593891,-2.396761968,-0.341547292,-2.457374566,-2.307249801,-0.645466493,-1.22420134,-2.36460197,-0.964620053,-3.151738449,-2.46062825,-2.487664626,-3.485405488,-3.474219602,-2.170520016,-1.156229693,-2.324721919,-2.733191682,-2.21979129,-2.435000372,-3.071486322,-2.670666377,-1.997032124
385470-007,-2.077272452,-2.584351176,-0.363189888,-2.60745263,-2.397442901,-0.639657451,-1.237540053,-2.431057325,-0.880082508,-2.914453459,-2.601849498,-2.48354444,-3.403311483,-3.543609373,-2.075955556,-1.095779997,-2.271726989,-2.812276296,-2.164495596,-2.334136597,-2.941258556,-2.643328096,-2.099315935
385470-008,-1.915238594,-2.526704431,-0.378186736,-2.442855272,-2.312491824,-0.607729045,-1.282344685,-2.351838654,-1.004122287,-3.159700811,-2.256901316,-2.409620347,-3.275928881,-3.402533145,-2.167133595,-1.051417779,-2.238380668,-1.955663278,-2.221328717,-2.333424104,-2.884447987,-2.497840417,-1.791287085
385470-009,-1.938193999,-2.362628378,-0.367246793,-2.177619219,-2.195910045,-0.636008723,-1.205669982,-2.343105735,-1.111315721,-2.961739053,-2.768395248,-2.528087115,-3.535444677,-3.639223998,-2.118178534,-0.934431108,-2.357710952,-2.748754041,-1.961392609,-2.300998988,-2.897753382,-2.586673052,-2.022988028
385470-010,-2.201541617,-2.568468061,-0.376265884,-2.615208261,-2.278962318,-0.627676193,-1.243837723,-2.291754553,-0.929341482,-3.267662953,-1.964979644,-2.420826486,-3.27997766,-3.404246137,-2.270101754,-1.089607687,-2.317754017,-2.127885783,-2.317096251,-2.361123752,-2.842167433,-2.417658086,-1.760648048
385470-011,-1.955462243,-2.624723227,-0.324370132,-2.330572271,-2.335178741,-0.65568087,-1.298559629,-2.319258252,-1.114633816,-3.109220763,-2.21246595,-2.496291029,-3.239023944,-3.538468042,-2.412513889,-1.104033847,-2.352420971,-1.73010127,-2.483582316,-2.500281944,-2.93088019,-2.333918295,-1.67318679
385470-012,-1.881712691,-2.615679779,-0.330902408,-2.288801082,-2.431493541,-0.655398732,-1.244943115,-2.390052658,-1.028539535,-2.816961369,-2.677113024,-2.574218934,-3.247964263,-3.405222321,-2.149595877,-1.079966107,-2.385284135,-2.393550838,-2.238726908,-2.400394013,-2.992914144,-2.536937074,-1.876384649
385470-013,-1.768578861,-2.435794954,-0.357206014,-2.496463081,-2.308006771,-0.667326292,-1.272265221,-2.358569317,-0.90550247,-2.963237255,-2.381238835,-2.541767458,-3.402080337,-3.465202764,-2.209566643,-1.038819501,-2.424903511,-2.436516677,-2.414517906,-2.578077074,-3.147012188,-2.503029373,-2.018416382
385470-014,-2.05467355,-2.517395983,-0.360119757,-2.430337489,-2.239413945,-0.647562576,-1.290517043,-2.345895481,-0.950893433,-3.349732707,-1.955714751,-2.428331264,-3.456431949,-3.5397665,-2.351410488,-1.082952069,-2.338698525,-1.956428155,-2.642425441,-2.38818962,-2.736120757,-2.313257216,-1.815802575
385470-015,-2.071997394,-2.656288942,-0.337941015,-2.600383236,-2.359459787,-0.630539238,-1.323748654,-2.417955838,-0.98763925,-3.204845254,-2.708017005,-2.480587373,-3.413760915,-3.404434413,-2.30778515,-1.103375063,-2.230563027,-2.080383137,-2.389809799,-2.22786521,-2.697162989,-2.261888862,-1.906902827
385470-016,-1.908722175,-2.45086949,-0.351334261,-2.378784825,-2.300701115,-0.673543426,-1.214036972,-2.375250509,-0.900191752,-3.118059998,-2.439548216,-2.516071652,-3.420409615,-3.475605469,-2.184395832,-1.117320426,-2.295854646,-2.594573628,-2.363967778,-2.294884497,-2.771497268,-2.481654298,-2.005739423
385470-017,-1.95770021,-2.561130034,-0.376064044,-2.537173006,-2.396530791,-0.64382462,-1.25065001,-2.402831149,-0.875601584,-3.115416772,-2.438812427,-2.494469192,-3.367146036,-3.368340334,-2.172723336,-1.07329989,-2.366600203,-2.653132151,-2.128159534,-2.37221257,-2.88268852,-2.496424505,-1.930031981
385470-018,-2.103980026,-2.677784014,-0.357564682,-2.522899056,-2.385071154,-0.645086876,-1.3227076,-2.399760213,-0.943248637,-2.757967218,-2.469020729,-2.439340484,-3.408253692,-3.386427829,-2.138280316,-1.032642615,-2.239826716,-2.547081371,-2.140301759,-2.270607278,-2.783835431,-2.466377383,-1.983157839
385470-019,-1.585864953,-2.351203637,-0.344461388,-2.215149578,-2.261730585,-0.680311084,-1.179414738,-2.402313657,-0.982864526,-2.521109211,-2.378620826,-2.508094839,-3.435134587,-3.488752291,-2.113882599,-1.200883673,-2.331603631,-2.16662049,-2.447258728,-2.431611989,-2.900130105,-2.442099717,-1.852593464
385470-020,-1.304164903,-2.603372228,-0.320563566,-2.235073189,-2.403558519,-0.749648133,-1.131475344,-2.243406879,-1.027165438,-3.02319869,-1.843167713,-2.406800797,-3.193166135,-3.577307348,-2.49325212,-1.275981347,-2.50130616,-2.219413935,-2.536476968,-2.519656087,-2.936051761,-2.496369184,-1.990833218
385470-022,-2.190647278,-2.573105046,-0.37510085,-2.490441963,-2.330797868,-0.640167917,-1.272018961,-2.318532233,-0.871088662,-2.894109303,-2.50059628,-2.457399262,-3.39382435,-3.386853773,-2.207004159,-1.0588279,-2.2803797,-2.611907735,-2.165434205,-2.413176994,-2.920104547,-2.441322648,-1.977400074
385470-023,-2.076903536,-2.602600164,-0.364014522,-2.361230575,-2.386938121,-0.627913835,-1.223121527,-2.286012492,-0.932180548,-2.804763757,-2.495217109,-2.521907826,-3.3862975,-3.35884809,-2.052376432,-1.105694193,-2.363267381,-2.580847211,-2.148201537,-2.42024761,-2.930403593,-2.409623849,-1.969183136
385470-024,-1.717041342,-2.488228912,-0.368634464,-2.404645877,-2.250583457,-0.652414195,-1.246183935,-2.306173488,-0.907165663,-2.913252493,-2.499732527,-2.555082954,-3.409938855,-3.419091391,-2.287598459,-1.062180303,-2.445378804,-2.301570402,-2.396422032,-2.628195855,-3.219134412,-2.471882155,-1.893442504
385470-025,-2.078388219,-2.588240892,-0.359685261,-2.387246374,-2.303539363,-0.681051754,-1.186552621,-2.367775675,-0.923643359,-2.837563967,-2.368712217,-2.499309482,-3.439032854,-3.560290106,-2.243700736,-1.057830073,-2.335573025,-1.968724196,-2.334313243,-2.414118635,-2.945468604,-2.444310125,-1.938198358
385470-026,-1.942642088,-2.453406321,-0.359404113,-2.499465487,-2.279568384,-0.643715641,-1.227153042,-2.357417541,-0.949518966,-3.128075181,-2.35892437,-2.513978104,-3.355056375,-3.467495884,-2.179379305,-1.102838598,-2.353332598,-2.178144127,-2.299655165,-2.368098681,-2.862106154,-2.311496793,-1.911020441
385470-027,-2.049969718,-2.492972839,-0.353057379,-2.423505459,-2.267173269,-0.647046398,-1.253110623,-2.279198184,-0.903287077,-3.141292458,-2.466655125,-2.580887524,-3.349321069,-3.430245841,-2.351070314,-1.118793909,-2.440059881,-2.185691339,-2.371096922,-2.514344806,-2.97423456,-2.507168822,-1.940673907
385470-028,-2.010307025,-2.493183537,-0.359892186,-2.326387722,-2.295897304,-0.662329765,-1.231273668,-2.282748978,-0.862228491,-3.108272555,-2.381303077,-2.511517168,-3.334409483,-3.40135608,-2.215091283,-1.189698141,-2.371550543,-2.126542749,-2.485677108,-2.516999528,-2.889501545,-2.355349298,-1.847823667
385470-029,-1.613354139,-2.455375895,-0.356773022,-2.448806585,-2.308978285,-0.666092209,-1.267192857,-2.44846681,-0.900765564,-2.485918663,-2.219467477,-2.491346614,-3.476052668,-3.486429026,-2.229568266,-1.142566835,-2.437051778,-2.236609869,-2.405364116,-2.702267335,-3.150133432,-2.511026867,-1.912258992
385470-030,-2.108942676,-2.555518033,-0.356796598,-2.539679926,-2.334453639,-0.659692928,-1.27139782,-2.350327936,-0.873870969,-3.217260008,-2.59521492,-2.553783285,-3.406882875,-3.3945218,-2.350504951,-1.040049226,-2.391967694,-2.627896663,-2.254963286,-2.562113433,-2.997374098,-2.50045277,-2.011836054
390979-001,-2.129821491,-2.610352896,-0.335706529,-2.551052476,-2.30624295,-0.610963214,-1.288718526,-2.349564457,-0.959150824,-3.101474691,-2.401184179,-2.603565354,-3.318046703,-3.323741811,-2.28985192,-1.17028152,-2.612659225,-2.398081891,-2.398164212,-2.741221895,-3.170928915,-2.495686613,-1.897158534
390979-002,-1.912858567,-2.593198851,-0.298837412,-2.236344469,-2.335434128,-0.625395231,-1.370607383,-2.326281334,-1.173902026,-3.158872832,-2.345033438,-2.589320558,-3.412719992,-3.444086288,-2.400955013,-1.163563215,-2.566433597,-1.905610256,-2.540969888,-2.735527513,-3.13183854,-2.404274924,-1.824884468
390979-003,-1.705906679,-2.554196369,-0.295205965,-2.206519957,-2.399226393,-0.696128182,-1.217291651,-2.394799409,-0.981912411,-3.165680603,-2.395467559,-2.642174051,-3.367204111,-3.332248213,-2.17683988,-1.26588356,-2.530601331,-2.900889915,-2.311037078,-2.644723847,-3.291541682,-2.715015985,-2.137329412
390979-004,-1.846181024,-2.496519823,-0.339242405,-2.306194527,-2.229059476,-0.614238659,-1.248673871,-2.393937217,-0.995933587,-3.126157291,-2.342229765,-2.536442265,-3.396729436,-3.316111523,-2.159367557,-1.174959754,-2.509431069,-2.513346737,-2.296226414,-2.623346587,-3.168325249,-2.639353371,-2.034718925
390979-005,-1.974464754,-2.493185411,-0.361003551,-2.266614245,-2.198215067,-0.628740948,-1.14458789,-2.287558219,-0.92346192,-3.169359598,-1.947565957,-2.425387325,-3.199264399,-3.370981855,-2.274659538,-1.205420938,-2.468399186,-2.932522503,-2.274256307,-2.548435908,-3.071087428,-2.613464491,-2.197362558
390979-006,-1.862876791,-2.462683531,-0.35963269,-2.506334755,-2.235741946,-0.599709493,-1.27361223,-2.415974114,-0.922890303,-3.193727326,-2.285788409,-2.448796715,-3.373757387,-3.402823273,-2.477862705,-1.20520121,-2.373209221,-2.117442397,-2.431022777,-2.56170504,-3.113868128,-2.521853711,-1.967190343
390979-007,-1.93467779,-2.501473059,-0.327026495,-2.325543763,-2.316304853,-0.644649226,-1.292704175,-2.397654533,-0.92459213,-2.987206915,-2.410454436,-2.58600578,-3.463082968,-3.314385196,-2.181546977,-1.2066868,-2.444354691,-2.471241085,-2.531951218,-2.599454943,-3.164950817,-2.553489161,-1.965947543
390979-008,-1.836062203,-2.469211532,-0.325204405,-2.282903066,-2.286264512,-0.635347705,-1.285696989,-2.424083825,-1.034926342,-2.620326768,-2.509360512,-2.643436025,-3.40723383,-3.411201923,-2.144354178,-1.11940349,-2.534105033,-2.266644734,-2.465840037,-2.650924661,-3.122939242,-2.634536379,-1.993037479
390979-009,-1.864865819,-2.408196351,-0.328444244,-2.413914029,-2.254855513,-0.624100419,-1.252404519,-2.392592344,-1.053721788,-2.898543909,-2.607560052,-2.561038126,-3.464270877,-3.497464184,-2.245149403,-1.123738352,-2.400146818,-2.499639263,-2.248463903,-2.562660523,-3.296667259,-2.550492883,-1.993216859
390979-010,-1.765860424,-2.420017931,-0.314689498,-2.211728169,-2.235661296,-0.678316578,-1.238651858,-2.34014903,-0.981017302,-2.673775961,-2.336525363,-2.592772167,-3.148836358,-3.368882767,-2.142470387,-1.197119798,-2.507480484,-2.457900072,-2.340002271,-2.797565324,-3.461946722,-2.643415245,-2.040595977
390979-011,-1.921011048,-2.561755061,-0.319899053,-2.342974289,-2.292329764,-0.627228339,-1.26680833,-2.430107985,-1.047139892,-2.849647194,-2.321539858,-2.519817083,-3.407952651,-3.445909814,-2.324468117,-1.163129115,-2.40857496,-2.357202662,-2.441357774,-2.634993153,-3.198265877,-2.665607976,-1.9029879
390979-012,-2.152857623,-2.657225872,-0.306992592,-2.297499791,-2.440644605,-0.666631082,-1.292307091,-2.346683972,-1.008031198,-3.10660308,-2.666749549,-2.623668092,-3.393018645,-3.395193068,-2.137175135,-1.094286775,-2.511606151,-2.606326482,-2.401014077,-2.576058684,-3.01148944,-2.622905281,-2.003816905
390979-013,-2.23034283,-2.609753068,-0.314044334,-2.468294751,-2.340431006,-0.661499168,-1.303364207,-2.352606732,-1.022696298,-3.094165566,-2.627997364,-2.592915538,-3.426500929,-3.490010625,-2.329350953,-1.054859526,-2.422260721,-2.375012278,-2.42535728,-2.522043269,-2.965335994,-2.67836632,-1.860040055
390979-014,-1.920004227,-2.621541564,-0.322789023,-2.19877418,-2.427210164,-0.639375239,-1.270567623,-2.388182248,-0.969666292,-2.851079029,-2.467890949,-2.563078449,-3.358019728,-3.330832242,-2.100911185,-1.18803937,-2.429388034,-2.675667358,-2.408440062,-2.556660015,-2.994738009,-2.663709966,-2.087088676
390979-015,-1.791657375,-2.543072754,-0.338959685,-2.431054687,-2.37500499,-0.628369734,-1.284534749,-2.455690267,-0.934814213,-3.030145861,-2.139400289,-2.433149046,-3.359744853,-3.367117863,-2.23442019,-1.231152824,-2.334749448,-2.461035435,-2.408851422,-2.438627941,-2.937488132,-2.702784575,-1.93636526
390979-016,-1.860809819,-2.53788636,-0.336117264,-2.465772529,-2.358232147,-0.662638415,-1.188196171,-2.372463311,-0.88583361,-3.445025462,-2.092110933,-2.431421786,-3.250222984,-3.292109179,-2.237649619,-1.294938335,-2.372043254,-2.464649927,-2.468513663,-2.446720149,-3.073562508,-2.708363625,-1.993256891
390979-017,-1.605585352,-2.38752299,-0.295641926,-2.350897858,-2.226612186,-0.614380898,-1.408073297,-2.373639148,-1.095890392,-3.573307894,-2.26926257,-2.406982989,-3.317112225,-3.613740478,-2.674703771,-1.419072162,-2.41949899,-1.785393061,-2.999547015,-2.646550884,-2.966563933,-2.564613799,-2.018089297
390979-018,-1.536168066,-2.480985497,-0.27424631,-2.206699545,-2.367653529,-0.69722698,-1.281126756,-2.460042116,-1.184579566,-3.055919286,-2.240113365,-2.5423957,-2.962836916,-3.479801363,-2.42313154,-1.298867937,-2.48479973,-1.890384646,-2.577724872,-2.622252152,-2.95412679,-2.427852944,-1.931560349
390979-019,-1.964577509,-2.564483288,-0.327561252,-2.442145442,-2.398681694,-0.637504667,-1.267157451,-2.433475596,-0.955956283,-3.26658306,-2.572688537,-2.577260551,-3.369338392,-3.395404412,-2.181738906,-1.154862192,-2.416827858,-2.566413673,-2.370556788,-2.567481184,-3.067947792,-2.623961532,-2.035281945
390979-020,-1.756936241,-2.467644443,-0.314012147,-2.334243469,-2.313807306,-0.682557792,-1.212409567,-2.364668144,-0.97288087,-3.320850499,-2.460912809,-2.539631817,-3.315714734,-3.410119802,-2.330279574,-1.193445025,-2.443671127,-2.336098012,-2.479190372,-2.657450392,-3.299780152,-2.586727624,-1.96637225
390979-021,-1.764455131,-2.532441592,-0.312329384,-2.506911597,-2.302404399,-0.640745811,-1.374466388,-2.451502472,-0.987755742,-2.998880707,-2.42948752,-2.521572621,-3.260162926,-3.417535866,-2.414634101,-1.186945097,-2.440152275,-2.121888945,-2.50041025,-2.607245568,-3.035773267,-2.550760033,-2.056073635
390979-022,-1.808975587,-2.461986057,-0.313588541,-2.402189513,-2.255895007,-0.659290241,-1.220235356,-2.395323994,-0.951882938,-3.085850189,-2.42044224,-2.57066748,-3.246565657,-3.376916893,-2.347416032,-1.262373438,-2.500363019,-2.539118963,-2.526542871,-2.64486717,-3.149895671,-2.829998046,-2.042459656
390979-023,-2.096688691,-2.51944625,-0.363251762,-2.314527196,-2.249340604,-0.595439298,-1.285042349,-2.389481336,-0.953125442,-3.034160873,-2.493700159,-2.476729227,-3.372373905,-3.372786117,-2.211271205,-1.095282683,-2.309400105,-2.502407018,-2.427309564,-2.402544783,-2.842316251,-2.581459226,-2.046917419
390979-024,-1.783347304,-2.564238082,-0.316398911,-2.394761607,-2.314632633,-0.658796777,-1.328529921,-2.422971368,-1.054832269,-3.187799461,-2.644088159,-2.578418721,-3.504355683,-3.567516042,-2.482363957,-1.086055213,-2.376197828,-1.93218556,-2.465598233,-2.468955419,-2.874879,-2.550390546,-1.904816823
390979-025,-1.866213717,-2.463623975,-0.317436271,-2.377830546,-2.27951997,-0.641847213,-1.275106349,-2.492079713,-1.022137691,-2.578242341,-2.427657831,-2.554673654,-3.370226194,-3.404110272,-2.131723925,-1.167042286,-2.507433817,-2.302852814,-2.487963541,-2.52224412,-2.846358971,-2.55376725,-2.088718861
390979-026,-1.737394455,-2.419243151,-0.294888385,-2.294328379,-2.243721431,-0.663281107,-1.224978605,-2.451042231,-1.079974988,-2.741740098,-2.255013866,-2.56116894,-3.442697693,-3.464889482,-2.292788149,-1.23929205,-2.413681228,-2.726349317,-2.33294936,-2.494568893,-3.04232133,-2.703337159,-2.222333591
390979-027,-1.891241778,-2.616936179,-0.311980176,-2.294874144,-2.401828076,-0.642327003,-1.221550626,-2.414903298,-1.058168599,-2.824786865,-2.414640037,-2.504191432,-3.365664485,-3.354452318,-2.091773261,-1.179805307,-2.370566516,-2.799113596,-2.229168757,-2.407865406,-2.948220149,-2.668835135,-2.216803486
399513-001,-1.944601327,-2.557752627,-0.329571035,-2.342262841,-2.264541607,-0.647202236,-1.268834261,-2.394549067,-0.943196337,-3.389718339,-2.09588476,-2.396901259,-3.007032165,-3.318325305,-2.281318193,-1.243714848,-2.339038584,-2.264176975,-2.378239729,-2.373008939,-2.93282275,-2.512626267,-1.968304687
399513-002,-1.97160102,-2.560882811,-0.332988395,-2.459246563,-2.328638683,-0.614871855,-1.320075342,-2.436864643,-0.973203294,-3.218073037,-2.23362941,-2.416353596,-3.116014934,-3.188745936,-2.177663091,-1.191583785,-2.336004589,-2.53818443,-2.304838431,-2.311928515,-2.91690124,-2.618991823,-2.051342241
399513-003,-1.911867232,-2.482171322,-0.339189036,-2.389028385,-2.330080937,-0.621368991,-1.352197747,-2.498363695,-0.969695821,-2.909498853,-2.49692129,-2.420880341,-3.051943986,-3.289402423,-2.121269018,-1.157031396,-2.305178288,-2.169263048,-2.233441318,-2.294213277,-2.883293391,-2.637360158,-2.00522401
399513-004,-2.011848186,-2.573517618,-0.365872417,-2.673264506,-2.276446818,-0.59834435,-1.474769635,-2.570901979,-0.910796486,-3.118864564,-1.407794961,-2.209407724,-3.351576639,-3.342216451,-2.497862598,-1.247896382,-2.378268546,-2.218028735,-2.450637856,-2.329713982,-3.035103333,-2.579817866,-2.043699344
399513-005,-2.088401819,-2.594676405,-0.347838875,-2.385440482,-2.285469837,-0.602818734,-1.373176624,-2.456896163,-0.997055383,-2.959402829,-2.212198971,-2.348064802,-3.257025257,-3.303028076,-2.304597454,-1.132171993,-2.217992316,-2.044472285,-2.350587919,-2.232986625,-2.929969131,-2.412010925,-1.90403404
399513-006,-2.003421446,-2.525594541,-0.35256358,-2.559542383,-2.236133518,-0.557922985,-1.43616296,-2.526304437,-1.127091614,-2.976246889,-1.876104833,-2.29022313,-3.180428146,-3.379856213,-2.361625303,-1.229007215,-2.251179867,-1.589154359,-2.579228269,-2.27746083,-2.922624335,-2.212136257,-1.906527188
399513-007,-2.10479316,-2.589546219,-0.344751973,-2.482850096,-2.315375282,-0.588411188,-1.358919715,-2.439132189,-1.058830041,-2.988461268,-2.470553115,-2.42015267,-3.125309926,-3.368909067,-2.361610971,-1.079438288,-2.374540702,-1.962033143,-2.301007492,-2.499671525,-3.133036538,-2.581885166,-1.909374349
399513-008,-1.55954209,-2.445246732,-0.316842563,-2.346077152,-2.324451618,-0.611972675,-1.312707595,-2.574392758,-1.13984147,-2.686597225,-2.187561149,-2.342897615,-3.081591772,-3.449584112,-2.265652807,-1.264798404,-2.363680483,-2.214386002,-2.414197361,-2.414533526,-3.161061732,-2.536781789,-1.900387103
399513-009,-1.910904093,-2.41098588,-0.333124453,-2.303945037,-2.316293996,-0.611204591,-1.399625161,-2.45144862,-1.074608506,-2.932348686,-2.499247235,-2.425485643,-3.121520101,-3.330435933,-2.190234941,-1.055891601,-2.32506949,-2.478186835,-2.268626222,-2.278168952,-2.860341956,-2.591056676,-1.987133544
399513-010,-1.708616986,-2.466883104,-0.352170641,-2.404630879,-2.268549203,-0.593054129,-1.339866456,-2.436889552,-1.046920381,-2.841443295,-2.119242217,-2.24025552,-2.466120914,-3.262675598,-2.301360112,-1.213323453,-2.262719772,-2.21791663,-2.169147969,-2.251735749,-2.707323623,-2.47193641,-1.859569238
399513-011,-2.076132241,-2.607065982,-0.356098321,-2.477056129,-2.400487866,-0.570460721,-1.384041285,-2.488894832,-1.003733179,-3.249300592,-2.424630643,-2.195142265,-3.253265626,-3.376840828,-2.286741106,-1.103203084,-2.154187897,-3.21758876,-2.062534181,-2.151497149,-2.867392138,-2.767394414,-2.215975022
399513-012,-1.909671412,-2.504752899,-0.31743649,-2.435434071,-2.343350965,-0.617823335,-1.252302016,-2.410364055,-1.086625906,-2.837669103,-2.506168325,-2.334166691,-3.257174392,-3.429603305,-2.265712105,-1.179749021,-2.316601033,-2.50760108,-2.30955538,-2.271700837,-2.971584683,-2.592456695,-2.106534356
399513-013,-1.809146682,-2.602446511,-0.328309508,-2.557685966,-2.398763056,-0.613026838,-1.291749,-2.494675987,-1.015000312,-2.963349087,-2.497296852,-2.359790481,-3.100420504,-3.38839384,-2.237437056,-1.181948302,-2.324059036,-2.72656833,-2.224148174,-2.279645288,-2.893280142,-2.671447652,-2.113167395
